# NOTE: encode in UTF8 without BOM
# NOTE: 1. 要按照行车方向的顺序 2. dir-0: 东西向或南北向, dir-1: 西东向或北南向
# route_id, route_name, direction, parent_route_id, parent_route_dir, route_type, key_locs
# corridor
10501,经五大明路,0,105,0,2,"31.987946 118.795306  60, 32.025179 118.810875  10"
10501,经五大明路,1,105,1,2,"32.025143 118.810660 185, 31.988083 118.794995 200"

10502,经五北安门街,0,105,0,2,"32.025611 118.810907  10, 32.088362 118.828352 350"
10502,经五北安门街,1,105,1,2,"32.088316 118.828143 170, 32.025734 118.810714 190"

10503,经五墨香路,0,105,0,2,"32.088948 118.828180  30, 32.121397 118.829488   0"
10503,经五墨香路,1,105,1,2,"32.121397 118.829359 180, 32.088871 118.828003 160"

10601,经六扬子江大道南段,0,106,0,2,"32.004270 118.704926  10, 32.027213 118.709932  10"
10601,经六扬子江大道南段,1,106,1,2,"32.028760 118.710254 190, 32.004283 118.704669 190"

10602,经六扬子江大道北段,0,106,0,2,"32.030524 118.711198  10, 32.068735 118.725601   0"
10602,经六扬子江大道北段,1,106,1,2,"32.066380 118.725322 180, 32.030815 118.711027 190"

20101,纬一栖霞大道,0,201,0,2,"32.133672 118.861997 260, 32.119074 118.817119 260"
20101,纬一栖霞大道,1,201,1,2,"32.118888 118.817275  80, 32.133463 118.862082  80"

20102,纬一幕府东路,0,201,0,2,"32.119061 118.816551 250, 32.102545 118.750583 340"
20102,纬一幕府东路,1,201,1,2,"32.101541 118.749934 100, 32.118896 118.816360 100"

20201,纬二玄武大道,0,202,0,2,"32.096824 118.869291 260, 32.081653 118.805776 240"
20201,纬二玄武大道,1,202,1,2,"32.080931 118.805487 60, 32.096805 118.869698 80"

20202,纬二龙蟠路,0,202,0,2,"32.081412 118.805406 240, 32.087272 118.790824 300, 32.092229 118.781733 250"
20202,纬二龙蟠路,1,202,1,2,"32.092161 118.781567  80, 32.087122 118.790752 120, 32.080431 118.805068 60"

20203,纬二建宁路,0,202,0,2,"32.092098 118.780311 260, 32.094347 118.730606 280"
20203,纬二建宁路,1,202,1,2,"32.094342 118.730303 100, 32.092038 118.780451 80"

20301,纬三玄武湖隧道,0,203,0,2,"32.078972 118.802578 250, 32.079809 118.783184 240"
20301,纬三玄武湖隧道,1,203,1,2,"32.079786 118.783286  60, 32.078808 118.802482  70"

20302,纬三新模范马路,0,203,0,2,"32.079741 118.782776 270, 32.073446 118.755672 250"
20302,纬三新模范马路,1,203,1,2,"32.073378 118.755919  80, 32.079691 118.782610  90"

20303,纬三定淮门大街,0,203,0,2,"32.073437 118.755286 250, 32.066672 118.728262 270"
20303,纬三定淮门大街,1,203,1,2,"32.066399 118.728310  90, 32.073342 118.754546  70"

20401,纬四北京东路,0,204,0,2,"32.059349 118.807011 280, 32.060624 118.779595 280"
20401,纬四北京东路,1,204,1,2,"32.060438 118.779589 100, 32.059206 118.806646 100"

20402,纬四北京西路,0,204,0,2,"32.060724 118.779273 350, 32.062608 118.750863 240"
20402,纬四北京西路,1,204,1,2,"32.062426 118.750879  60, 32.060229 118.779107 60"

20403,纬四草场门大街,0,204,0,2,"32.062567 118.750681 240, 32.059691 118.727584 270"
20403,纬四草场门大街,1,204,1,2,"32.059577 118.727423  90, 32.062385 118.750691 60"

20501,纬五中山门大街,0,205,0,2,"32.052344 118.894927 260, 32.048121 118.873502 240,32.041047 118.820397 240"
20501,纬五中山门大街,1,205,1,2,"32.040956 118.820370 120, 32.037673 118.853012 60, 32.048239 118.873904  60,32.052262 118.894960  80"

20502,纬五中山东路,0,205,0,2,"32.041120 118.820000 280, 32.044489 118.760846 240"
